Processing molecule: formaldehyde
Running with beta = 8
Running with l = 60
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
Iter 1: V_size = 32, Converged = 0, ‖r‖ (largest λ) = 44.648751310431436
129.273420 seconds (904.95 k allocations: 55.478 GiB, 0.42% gc time, 0.45% compilation time)
Total estimated FLOPs: 2706356024674

Reading exact Eigenvalues...
Reading eigenvalues from ../Eigenvalues_folder/eigenres_formaldehyde_RNDbasis1.jld2

Relative deviation between Davidson and exact eigenvalues:
1×60 adjoint(::Vector{Float64}) with eltype Float64:
 -0.0  -0.0  -3.82286e-16  4.7647e-16  -1.69249e-16  -2.03213e-16  2.32257e-15  -3.0222e-15  -3.18899e-16  1.66995e-16  -1.57555e-15  -4.59783e-16  -0.0  -0.0  -7.82269e-16  -9.12203e-16  1.81293e-15  -1.93814e-15  -4.30492e-16  -1.58187e-14  -1.07567e-14  -5.82502e-14  -1.18822e-12  -3.08503e-14  -3.7157e-13  -1.2566e-13  -4.13265e-12  -4.24257e-12  -4.75757e-12  -1.99362e-12  -2.19015e-12  -3.86747e-12  -1.12242e-11  -1.93559e-11  -3.00962e-16  -0.0  -3.60764e-16  3.64471e-16  -1.10646e-15  -1.12252e-15  -9.57083e-15  -2.41948e-13  -5.46521e-12  -9.491e-13  -4.23673e-12  -4.69326e-12  -6.239e-12  -5.36972e-15  -9.47347e-15  -4.84172e-14  -6.45525e-13  -5.99408e-13  -2.77546e-11  -7.60202e-13  -1.06409e-10  -1.52609e-10  -3.76367e-10  -1.73777e-9  -3.5372e-9  -1.85122e-8
Running with l = 300
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
Iter 1: V_size = 60, Converged = 0, ‖r‖ (largest λ) = 33.54955441081027
Iter 2: V_size = 120, Converged = 0, ‖r‖ (largest λ) = 21.49566240134153
Iter 3: V_size = 240, Converged = 0, ‖r‖ (largest λ) = 23.085141122086267
Iter 4: V_size = 240, Converged = 0, ‖r‖ (largest λ) = 21.895554385074007
Iter 5: V_size = 240, Converged = 0, ‖r‖ (largest λ) = 21.895554384731387
EV   1 converged λ = -735.4153437081, ‖r‖ = 6.96e-08, stable for 3 iters
EV   2 converged λ = -611.6773615864, ‖r‖ = 2.12e-07, stable for 3 iters
EV   3 converged λ = -594.7742412739, ‖r‖ = 9.38e-08, stable for 3 iters
EV   4 converged λ = -178.9518495308, ‖r‖ = 1.04e-05, stable for 3 iters
EV   5 converged λ = -167.9280306474, ‖r‖ = 2.22e-05, stable for 3 iters
EV   6 converged λ = -139.8613654375, ‖r‖ = 2.09e-05, stable for 3 iters
EV   7 converged λ = -134.6090001774, ‖r‖ = 1.86e-05, stable for 3 iters
EV   8 converged λ = -131.6601987668, ‖r‖ = 3.96e-05, stable for 3 iters
EV   9 converged λ = -89.1246091115, ‖r‖ = 5.58e-05, stable for 3 iters
EV  10 converged λ = -85.0975966909, ‖r‖ = 4.15e-05, stable for 3 iters
EV  11 converged λ = -63.1374062080, ‖r‖ = 2.04e-04, stable for 3 iters
EV  12 converged λ = -46.3616464671, ‖r‖ = 5.29e-04, stable for 3 iters
EV  13 converged λ = -45.8340136390, ‖r‖ = 6.59e-04, stable for 3 iters
EV  14 converged λ = -45.3851659591, ‖r‖ = 5.78e-04, stable for 3 iters
EV  15 converged λ = -36.3322339668, ‖r‖ = 2.10e-03, stable for 3 iters
EV  16 converged λ = -31.1571026684, ‖r‖ = 1.93e-03, stable for 3 iters
EV  17 converged λ = -27.4347457699, ‖r‖ = 3.96e-03, stable for 3 iters
EV  18 converged λ = -25.6623178479, ‖r‖ = 4.21e-03, stable for 3 iters
EV  19 converged λ = -24.7576139589, ‖r‖ = 4.18e-03, stable for 3 iters
EV  20 converged λ = -19.4858867930, ‖r‖ = 5.58e-03, stable for 3 iters
Iter 6: V_size = 240, Converged = 20, ‖r‖ (largest λ) = 21.89555438473173
Iter 7: V_size = 240, Converged = 20, ‖r‖ (largest λ) = 26.57736801022401
Iter 8: V_size = 240, Converged = 20, ‖r‖ (largest λ) = 26.577368010298006
EV  21 converged λ = -19.9884907581, ‖r‖ = 2.11e-04, stable for 3 iters
EV  22 converged λ = -18.1141988085, ‖r‖ = 2.80e-04, stable for 3 iters
EV  23 converged λ = -17.2609137164, ‖r‖ = 4.63e-04, stable for 3 iters
EV  24 converged λ = -16.3526846307, ‖r‖ = 4.51e-04, stable for 3 iters
EV  25 converged λ = -16.2829815657, ‖r‖ = 8.50e-04, stable for 3 iters
EV  26 converged λ = -16.1152457387, ‖r‖ = 5.11e-04, stable for 3 iters
EV  27 converged λ = -15.4658939173, ‖r‖ = 4.39e-04, stable for 3 iters
EV  28 converged λ = -14.3190588750, ‖r‖ = 6.93e-04, stable for 3 iters
EV  29 converged λ = -13.7222432297, ‖r‖ = 9.87e-04, stable for 3 iters
EV  30 converged λ = -13.6825029053, ‖r‖ = 8.27e-04, stable for 3 iters
EV  31 converged λ = -13.5269552977, ‖r‖ = 6.97e-04, stable for 3 iters
EV  32 converged λ = -12.8445108510, ‖r‖ = 1.26e-03, stable for 3 iters
EV  33 converged λ = -12.7590318817, ‖r‖ = 9.39e-04, stable for 3 iters
EV  34 converged λ = -11.9681602780, ‖r‖ = 1.06e-03, stable for 3 iters
EV  35 converged λ = -11.8045037994, ‖r‖ = 1.78e-03, stable for 3 iters
EV  36 converged λ = -11.7043135188, ‖r‖ = 1.95e-03, stable for 3 iters
EV  37 converged λ = -9.8476008454, ‖r‖ = 3.78e-03, stable for 3 iters
EV  38 converged λ = -9.7475221794, ‖r‖ = 2.54e-03, stable for 3 iters
EV  39 converged λ = -9.6324648111, ‖r‖ = 3.76e-03, stable for 3 iters
EV  40 converged λ = -9.4945529148, ‖r‖ = 4.44e-03, stable for 3 iters
Iter 9: V_size = 240, Converged = 40, ‖r‖ (largest λ) = 26.57736801023432
Iter 10: V_size = 240, Converged = 40, ‖r‖ (largest λ) = 26.763508868086017
Iter 11: V_size = 240, Converged = 40, ‖r‖ (largest λ) = 26.763508867981848
EV  41 converged λ = -9.4656661126, ‖r‖ = 1.52e-03, stable for 3 iters
EV  42 converged λ = -7.7272939201, ‖r‖ = 2.31e-03, stable for 3 iters
EV  43 converged λ = -6.8328346334, ‖r‖ = 3.78e-03, stable for 3 iters
EV  44 converged λ = -6.6282057988, ‖r‖ = 5.11e-03, stable for 3 iters
EV  45 converged λ = -6.5383786548, ‖r‖ = 2.82e-03, stable for 3 iters
EV  46 converged λ = -6.2221988547, ‖r‖ = 5.31e-03, stable for 3 iters
EV  47 converged λ = -5.7890699221, ‖r‖ = 4.41e-03, stable for 3 iters
Iter 12: V_size = 240, Converged = 47, ‖r‖ (largest λ) = 26.76350886799618
Iter 13: V_size = 240, Converged = 47, ‖r‖ (largest λ) = 32.55928489384444
Iter 14: V_size = 240, Converged = 47, ‖r‖ (largest λ) = 32.55928489465142
EV  48 converged λ = -6.5857859711, ‖r‖ = 2.14e-03, stable for 3 iters
EV  49 converged λ = -5.7190197491, ‖r‖ = 2.37e-03, stable for 3 iters
EV  50 converged λ = -5.2281296819, ‖r‖ = 2.89e-03, stable for 3 iters
EV  51 converged λ = -5.0399349655, ‖r‖ = 2.53e-03, stable for 3 iters
EV  52 converged λ = -4.7875702850, ‖r‖ = 4.25e-03, stable for 3 iters
EV  53 converged λ = -4.7814401556, ‖r‖ = 1.86e-03, stable for 3 iters
EV  54 converged λ = -4.6652037981, ‖r‖ = 1.85e-03, stable for 3 iters
Iter 15: V_size = 240, Converged = 54, ‖r‖ (largest λ) = 32.5592848941923
Iter 16: V_size = 240, Converged = 54, ‖r‖ (largest λ) = 28.767003243037752
Iter 17: V_size = 240, Converged = 54, ‖r‖ (largest λ) = 28.767003242562872
EV  55 converged λ = -4.6212008929, ‖r‖ = 4.81e-03, stable for 3 iters
EV  56 converged λ = -4.5200170311, ‖r‖ = 2.34e-03, stable for 3 iters
EV  57 converged λ = -4.4887324587, ‖r‖ = 3.92e-03, stable for 3 iters
EV  58 converged λ = -4.0926224601, ‖r‖ = 3.64e-03, stable for 3 iters
EV  59 converged λ = -4.0016835327, ‖r‖ = 5.84e-03, stable for 3 iters
EV  60 converged λ = -3.8956030268, ‖r‖ = 2.38e-03, stable for 3 iters
Iter 18: V_size = 240, Converged = 60, ‖r‖ (largest λ) = 28.767003242399113
Iter 19: V_size = 240, Converged = 60, ‖r‖ (largest λ) = 32.93973914087282
Iter 20: V_size = 240, Converged = 60, ‖r‖ (largest λ) = 32.93973914114107
EV  61 converged λ = -3.6818237567, ‖r‖ = 4.03e-03, stable for 3 iters
Iter 21: V_size = 240, Converged = 61, ‖r‖ (largest λ) = 32.93973914138539
Iter 22: V_size = 240, Converged = 61, ‖r‖ (largest λ) = 31.777122041935584
Iter 23: V_size = 240, Converged = 61, ‖r‖ (largest λ) = 36.574555432526076
Iter 24: V_size = 240, Converged = 61, ‖r‖ (largest λ) = 30.769861249704526
EV  62 converged λ = -3.5017546570, ‖r‖ = 4.94e-03, stable for 3 iters
Iter 25: V_size = 240, Converged = 62, ‖r‖ (largest λ) = 33.75954858052348
Iter 26: V_size = 240, Converged = 62, ‖r‖ (largest λ) = 38.728835018935804
Iter 27: V_size = 240, Converged = 62, ‖r‖ (largest λ) = 43.83792541278887
EV  63 converged λ = -3.4531376945, ‖r‖ = 5.97e-03, stable for 3 iters
Iter 28: V_size = 240, Converged = 63, ‖r‖ (largest λ) = 28.787060676426382
Iter 29: V_size = 240, Converged = 63, ‖r‖ (largest λ) = 27.712094287476358
Iter 30: V_size = 240, Converged = 63, ‖r‖ (largest λ) = 27.993126913568634
EV  64 converged λ = -3.3993035977, ‖r‖ = 4.95e-03, stable for 3 iters
Iter 31: V_size = 240, Converged = 64, ‖r‖ (largest λ) = 35.31480864908045
Iter 32: V_size = 240, Converged = 64, ‖r‖ (largest λ) = 29.239529866360822
Iter 33: V_size = 240, Converged = 64, ‖r‖ (largest λ) = 39.475509764437255
EV  65 converged λ = -3.2422779893, ‖r‖ = 3.45e-03, stable for 3 iters
Iter 34: V_size = 240, Converged = 65, ‖r‖ (largest λ) = 26.51693773425805
Iter 35: V_size = 240, Converged = 65, ‖r‖ (largest λ) = 24.97866377426275
Iter 36: V_size = 240, Converged = 65, ‖r‖ (largest λ) = 27.76288388598747
Iter 37: V_size = 240, Converged = 65, ‖r‖ (largest λ) = 25.263827832295707
EV  66 converged λ = -3.1851028981, ‖r‖ = 4.17e-03, stable for 3 iters
EV  67 converged λ = -2.9940410411, ‖r‖ = 4.35e-03, stable for 3 iters
Iter 38: V_size = 240, Converged = 67, ‖r‖ (largest λ) = 21.90241208541097
Iter 39: V_size = 240, Converged = 67, ‖r‖ (largest λ) = 30.311034424859578
Iter 40: V_size = 240, Converged = 67, ‖r‖ (largest λ) = 15.51265373338725
Iter 41: V_size = 240, Converged = 67, ‖r‖ (largest λ) = 19.222309007890384
Iter 42: V_size = 240, Converged = 67, ‖r‖ (largest λ) = 17.29139428705932
EV  68 converged λ = -2.5874583152, ‖r‖ = 4.51e-03, stable for 3 iters
Iter 43: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 19.330833185767947
Iter 44: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 18.94867633903508
Iter 45: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 22.543488486121504
Iter 46: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 17.065675926825335
Iter 47: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 19.00517859404159
Iter 48: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 13.30385915403614
Iter 49: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 11.855710271831605
Iter 50: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 24.07713939904108
Iter 51: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 14.148534822721201
Iter 52: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 20.143248741995993
Iter 53: V_size = 240, Converged = 68, ‖r‖ (largest λ) = 23.6359162276944
EV  69 converged λ = -2.4160838670, ‖r‖ = 5.36e-03, stable for 3 iters
Iter 54: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 14.594652420431716
Iter 55: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 15.696588393281916
Iter 56: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 13.30353955636927
Iter 57: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 17.069543783744113
Iter 58: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 9.72232748256642
Iter 59: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 7.535461253511314
Iter 60: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 9.16044458371859
Iter 61: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 6.467443133824057
Iter 62: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 5.2977080042621925
Iter 63: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 6.460429136710846
Iter 64: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 5.571632225975674
Iter 65: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 4.847034213934308
Iter 66: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 5.681029943818388
Iter 67: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 4.905732252969307
Iter 68: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 3.8551424384228055
Iter 69: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 3.9536678938879977
Iter 70: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 4.156049506794332
Iter 71: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 3.433981908782125
Iter 72: V_size = 240, Converged = 69, ‖r‖ (largest λ) = 4.065325831361019
EV  70 converged λ = -2.2323358545, ‖r‖ = 5.29e-03, stable for 3 iters
Iter 73: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 3.7533194479921743
Iter 74: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 2.5166748223151507
Iter 75: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 1.829306981614744
Iter 76: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 2.3021386070825978
Iter 77: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 2.1245314954624597
Iter 78: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 1.3390485699920038
Iter 79: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 1.5951212972396698
Iter 80: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 1.2739159225488723
Iter 81: V_size = 240, Converged = 70, ‖r‖ (largest λ) = 1.259555799791021
EV  71 converged λ = -2.1395487558, ‖r‖ = 5.04e-03, stable for 3 iters
Iter 82: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.8866628956192338
Iter 83: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.821897863042466
Iter 84: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.6844970905070419
Iter 85: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.6815818224451119
Iter 86: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.6362859079917155
Iter 87: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.49152474988658357
Iter 88: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.4760305005847571
Iter 89: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.40823611711435065
Iter 90: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.4963413443461066
Iter 91: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.42551772057863213
Iter 92: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.41697355253761714
Iter 93: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.3822966618498018
Iter 94: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.3368609203070508
Iter 95: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.33357951514267614
Iter 96: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.33723748474236015
Iter 97: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.3236939462668571
Iter 98: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.31592717988483454
Iter 99: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.2961460979072294
Iter 100: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.27869625837023515
Iter 101: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.2274030927397391
Iter 102: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.22940290187755724
Iter 103: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.23521167838444682
Iter 104: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.23432130636141776
Iter 105: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.18039079775653322
Iter 106: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16855391696376176
Iter 107: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.17808666682254382
Iter 108: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.173949353646146
Iter 109: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.167484540851717
Iter 110: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16566806794887903
Iter 111: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16685230680614527
Iter 112: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16886382559693142
Iter 113: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16604647879109574
Iter 114: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.164679477813113
Iter 115: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1653544941833699
Iter 116: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.165269447909101
Iter 117: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.16204497669182372
Iter 118: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.15659143096932934
Iter 119: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1500508646262075
Iter 120: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.15165384164271334
Iter 121: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.15722383502150744
Iter 122: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1564498645651678
Iter 123: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1556328499289104
Iter 124: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.15576881363968237
Iter 125: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1539513865796174
Iter 126: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14689501081943843
Iter 127: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14707150129248456
Iter 128: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14657102905724922
Iter 129: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14063422415606708
Iter 130: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14188090618985572
Iter 131: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14181581005058524
Iter 132: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14580955595541997
Iter 133: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.14076112942989713
Iter 134: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.13830530086204898
Iter 135: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.13604648248680135
Iter 136: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1362962325430743
Iter 137: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.13528531630112994
Iter 138: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.13252937723722377
Iter 139: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1320029505410178
Iter 140: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.13018273183994952
Iter 141: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12974045017618102
Iter 142: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12852046432833472
Iter 143: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12830747166317014
Iter 144: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1275476202313458
Iter 145: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12519136777214446
Iter 146: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1230682109217835
Iter 147: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12197960595445116
Iter 148: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.12116705459658474
Iter 149: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.1193095050868808
Iter 150: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.11898713683052338
Iter 151: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.11878799187506173
Iter 152: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.11789313537890833
Iter 153: V_size = 240, Converged = 71, ‖r‖ (largest λ) = 0.11712397515157517
